"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Ademar Magalhaes de Abreu","UFVRSPA038882-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/11/2017","1.00","1","0","N/I","1°47'35,772""S","52°58'6,42""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ademar Romano do Amaral","UFVRSPA039225-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/12/2017","1.00","1","0","N/I","1°41'26,304""S","52°40'6,852""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ademildo de Matos Barbosa","UFVRSPA039391-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/01/2018","1.00","1","0","N/I","1° 51' 29,268"" S","52° 36' 44,712"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ademilson Esquerdo Freitas","UFVRSPA043038-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/10/2018","1.00","1","0","N/I","2° 4' 44,616"" S","53° 27' 57,024"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Prainha - PA"
"Ademilton Silva de Aragao","UFVRSPA039983-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/01/2018","1.00","1","0","N/I","1° 53' 13,452"" S","52° 32' 12,840"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ademir Froes Palheta","UFVRSPA042936-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/10/2018","1.00","1","0","N/I","1° 54' 49,896"" N","52° 56' 13,488"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ademir Muterle","UFVRSPA039857-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/01/2018","1.00","1","0","N/I","1° 52' 45,149"" S","52° 33' 1,332"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ademir Rodrigues Garcia","UFVRSPA045242-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/08/2019","1.00","1","0","N/I","3° 47' 40,362"" S","49° 49' 42,316"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Ademir Sanches Vieira","UFVRSPA039709-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/01/2018","1.00","1","0","N/I","1° 52' 32,700"" S","52° 38' 39,120"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adenilson de Sousa Soares","UFVRSPA045925-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/09/2019","1.00","1","0","N/I","3° 46' 2,500"" S","49° 53' 5,298"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adenilson Gomes de Castro","UFVRSPA039530-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/01/2018","1.00","1","0","N/I","1° 55' 3,252"" S","52° 56' 21,336"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adenilson Pimentel do Nascimento","UFVRSPA039237-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/12/2017","1.00","1","0","N/I","1°42'26,316""S","52°44'46,428""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adição Distribuição Express - CDA","UTEPEMG033164-3","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/10/2007","496.00","496","0","Não","20°06'56,8"" S","44°53'29,4"" W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - CF","UTEPEMG033507-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/07/2008","288.00","288","0","Não","20°8'56""S","44°52'45,7""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L01","UTEPEMG033146-5","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","10/01/2015","400.00","400","0","Não","20°9'28,4""S","44°54'17""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L012","UTEPEMG033110-4","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/10/2013","368.00","368","0","Não","19°51'48,3""S","44°36'1,3""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Pará de Minas - MG"
"Adição Distribuição Express - L02","UTEPEMG033093-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2007","292.00","292","0","Não","20°8'52""S","44°53'30,4""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L03","UTEPEMG033090-6","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2007","208.00","208","0","Não","20°8'30,3""S","44°53'11,6""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L04","UTEPEMG033277-1","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/11/2013","260.00","260","0","Não","20°8'57""S","44°52'47,2""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L05","UTEPEMG033145-7","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/11/2013","144.00","144","0","Não","20°8'20,7""S","44°52'27,5""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L06","UTEPEMG033101-5","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","02/04/2010","208.00","208","0","Não","20°7'28,8""S","44°53'4,9""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L07","UTEPEMG033095-7","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/12/2009","576.00","576","0","Não","20°8'35,8""S","44°53'59""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L08","UTEPEMG033103-1","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2012","368.00","368","0","Não","20°28'8,4""S","45°25'49,9""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Formiga - MG"
"Adição Distribuição Express - L09","UTEPEMG033278-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2004","144.00","144","0","Não","20°41'59,4""S","44°49'24,6""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Oliveira - MG"
"Adição Distribuição Express - L10","UTEPEMG033461-8","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","02/01/2011","208.00","208","0","Não","20°53'38,1""S","45°16'20,6""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Campo Belo - MG"
"Adição Distribuição Express - L11","UTEPEMG033114-7","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/10/2013","368.00","368","0","Não","20°4'10,3""S","44°34'44,6""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Itaúna - MG"
"Adição Distribuição Express - L13","UTEPEMG033119-8","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/05/2006","120.00","120","0","Não","20°5'19,6""S","45°17'23,3""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Santo Antônio do Monte - MG"
"Adição Distribuição Express - L14","UTEPEMG033493-6","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2007","120.00","120","0","Não","20°17'31,7""S","45°32'21,5""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Arcos - MG"
"Adição Distribuição Express - L15","UTEPEMG033156-2","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2006","120.00","120","0","Não","20°4'30,8""S","44°34'23""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Itaúna - MG"
"Adição Distribuição Express - L16","UTEPEMG033118-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2007","184.00","184","0","Não","19°35'54,2""S","46°56'14,1""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Araxá - MG"
"Adição Distribuição Express - L17","UTEPEMG033492-8","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2007","184.00","184","0","Não","19°35'4,1""S","46°56'38,6""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Araxá - MG"
"Adição Distribuição Express - L18","UTEPEMG033111-2","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/10/2013","160.00","160","0","Não","19°36'20,3""S","46°56'25,5""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Araxá - MG"
"Adição Distribuição Express - L19","UTEPEMG033491-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/01/2005","144.00","144","0","Não","20°9'39""S","44°52'54,7""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L20","UTEPEMG033112-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/09/2010","292.00","292","0","Não","20°1'36""S","45°32'10""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Lagoa da Prata - MG"
"Adição Distribuição Express - L21","UTEPEMG033150-3","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2010","144.00","144","0","Não","20°7'57,9""S","44°54'51,3""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Adição Distribuição Express - L22","UTEPEMG033149-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2012","368.00","368","0","Não","20°41'30,2""S","44°49'34,5""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Oliveira - MG"
"Adição Distribuição Express - L23","UTEPEMG033170-8","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2012","368.00","368","0","Não","21°15'46,7""S","44°59'16,9""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Lavras - MG"
"Adição Distribuição Express - L24","UTEPEMG033148-1","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2013","208.00","208","0","Não","20°43'45,1""S","46°36'20""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Passos - MG"
"Adição Distribuição Express - L25","UTEPEMG033371-9","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/07/2013","184.00","184","0","Não","20°43'21,6""S","46°36'25,6""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Passos - MG"
"Adição Distribuição Express - L26","UTEPEMG033303-4","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2014","368.00","368","0","Não","19°58'4,2""S","44°12'36""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Betim - MG"
"Adição Distribuição Express - L27","UTEPEMG033265-8","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/09/2014","368.00","368","0","Não","21°32'25""S","45°26'36""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Varginha - MG"
"Adição Distribuição Express - L29","UTEPEMG033391-3","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/02/2015","368.00","368","0","Não","20°53'50,1""S","45°16'1,4""W","","","100% para Adição Distribuição Express Ltda. (REG)","","Campo Belo - MG"
"Adidimo Gouveia da Silva","UFVRSPA039685-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/02/2018","1.00","1","0","N/I","2° 7' 7,644"" S","52° 16' 44,760"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adiel Neves Ferreira","UFVRSPA046140-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/10/2019","1.00","1","0","N/I","3° 59' 30,984"" S","49° 45' 17,719"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adilson Fernandes Barbosa","UFVRSPA039443-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","17/01/2018","1.00","1","0","N/I","1° 52' 54,048"" S","52° 44' 56,760"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adilson Leal Dos Santos","UFVRSPA039152-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/12/2017","1.00","1","0","N/I","1°35'50,136""S","52°36'52,56""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adilson Palheta Pires","UFVRSPA039273-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/01/2018","1.00","1","0","N/I","1°47'45,096""S","52°53'59,928""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adilton da Gama Guerra","UFVRSPA040475-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/03/2018","1.00","1","0","N/I","2° 57' 48,672"" S","52° 18' 14,040"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adinaldo da Silva Santos","UFVRSPA039058-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/12/2017","1.00","1","0","N/I","1°43'49,152""S","52°18'24,12""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adinelson Gouvea Ramos","UFVRSPA040400-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/03/2018","1.00","1","0","N/I","2°4'5,808""S","52°17'25,98""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adison Carvalho da Silva","UFVRSPA040707-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/02/2018","1.00","1","0","N/I","2° 17' 24,256"" S","52° 53' 51,756"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Admar Serpa Barbosa","UFVRSPA039926-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/02/2018","1.00","1","0","N/I","2° 36' 26,784"" S","52° 55' 55,776"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Admilson Caetano da Conceicao","UFVRSPA039589-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/03/2018","1.00","1","0","N/I","2° 2' 56,652"" S","52° 15' 50,004"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Admilson Campos Lima","UFVRSPA038586-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/11/2017","1.00","1","0","N/I","1°58'55,128""S","53°10'4,296""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Admires Almeida da Silva","UFVRSPA040003-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/02/2018","1.00","1","0","N/I","1°59'24,216""S","52°38'1,104""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Ado Popinhaki","PCHPHSC031598-2","SC","PCH","Operação","Hídrica","Potencial hidráulico","Autorização","Potencial hidráulico","22/12/2017","22,600.00","22600","12340","Não","-1","-1","12-06-2014","12-06-2049","100% para COMPANHIA ENERGÉTICA CANOAS (PIE)","","Curitibanos - SC"
"Adonilson Barbosa Sanches","UFVRSPA039534-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","18/01/2018","1.00","1","0","N/I","1° 53' 43,404"" S","52° 45' 35,100"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adonis Vieira Sanches","UFVRSPA039828-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/01/2018","1.00","1","0","N/I","1° 55' 23,448"" S","52° 40' 54,948"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adria","UTEPESP028963-9","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","13/10/2003","2,040.00","2040","0","Não","21° 15' 18,000"" S","48° 19' 19,200"" W","","","100% para Adria Alimentos do Brasil Ltda (REG)","","Jaboticabal - SP"
"Adriana Agrícola","UTEPEMT030428-0","MT","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","15/12/2010","1,460.00","1460","0","Não","16° 56' 38,000"" S","53° 31' 40,800"" W","","","100% para Adriana Agrícola Ltda (REG)","","Alto Garças - MT"
"Adriana de Lima Souza","UFVRSPA039588-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/03/2018","1.00","1","0","N/I","2° 2' 52,512"" S","52° 19' 51,240"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adriana Ferreira Soares","UFVRSPA039059-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/12/2017","1.00","1","0","N/I","1°35'54,528""S","52°12'52,74""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adriana Garcia de Castro","UFVRSPA039535-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/03/2018","1.00","1","0","N/I","2° 2' 37,896"" S","52° 20' 7,656"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adriana Maciel","UFVRSPA046341-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","31/10/2019","1.00","1","0","N/I","3° 58' 10,495"" S","49° 47' 47,368"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adriana Oliveira Duarte","UFVRSPA040313-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","15/03/2018","1.00","1","0","N/I","2°20'12,372""S","52°31'13,8""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Adriana Paes Silva","UFVRSPA045998-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/09/2019","1.00","1","0","N/I","3° 53' 1,993"" S","49° 47' 28,097"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adriana Rodrigues Caldas","UFVRSPA045942-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/09/2019","1.00","1","0","N/I","3° 48' 46,289"" S","49° 47' 9,312"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adriana Silva Oliveira","UFVRSPA045956-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/09/2019","1.00","1","0","N/I","3° 49' 44,195"" S","49° 45' 48,172"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Adriano Araujo Barbosa","UFVRSPA039494-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","06/03/2018","1.00","1","0","N/I","2° 2' 6,504"" S","52° 19' 48,360"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
